,Time,TPU_cores
1199,1651100128,64
1200,1651100158,64
1201,1651100188,64
1202,1651100218,64
1203,1651100248,64
1204,1651100278,64
1205,1651100308,64
1206,1651100338,64
1207,1651100368,64
1208,1651100398,64
1209,1651100428,64
1210,1651100458,64
1211,1651100488,64
1212,1651100518,64
1213,1651100548,64
1214,1651100578,64
1215,1651100608,64
1216,1651100638,64
1217,1651100668,64
1218,1651100698,64
1219,1651100728,64
1220,1651100758,64
1221,1651100788,64
1222,1651100818,64
1223,1651100848,64
1224,1651100878,64
1225,1651100908,64
1226,1651100938,64
1227,1651100968,64
1228,1651100998,64
1229,1651101028,64
1230,1651101058,64
1231,1651101088,64
1232,1651101118,64
1233,1651101148,64
1234,1651101178,64
1235,1651101208,64
1236,1651101238,64
1237,1651101268,64
1238,1651101298,64
1239,1651101328,64
1240,1651101358,64
1241,1651101388,64
1242,1651101418,56
1243,1651101448,56
1244,1651101478,56
1245,1651101508,64
1246,1651101538,64
1247,1651101568,64
1248,1651101598,64
1249,1651101628,64
1250,1651101658,64
1251,1651101688,64
1252,1651101718,64
1253,1651101748,64
1254,1651101778,64
1255,1651101808,56
1256,1651101838,56
1257,1651101868,56
1258,1651101898,56
1259,1651101928,64
1260,1651101958,64
1261,1651101988,64
1262,1651102018,64
1263,1651102048,64
1264,1651102078,64
1265,1651102108,64
1266,1651102138,64
1267,1651102168,64
1268,1651102198,64
1269,1651102228,64
1270,1651102258,64
1271,1651102288,64
1272,1651102318,64
1273,1651102348,64
1274,1651102378,64
1275,1651102408,64
1276,1651102438,64
1277,1651102468,64
1278,1651102498,64
1279,1651102528,64
1280,1651102558,64
1281,1651102588,64
1282,1651102618,64
1283,1651102648,64
1284,1651102678,64
1285,1651102708,64
1286,1651102738,64
1287,1651102768,64
1288,1651102798,64
1289,1651102828,64
1290,1651102858,64
1291,1651102888,64
1292,1651102918,64
1293,1651102948,56
1294,1651102978,56
1295,1651103008,56
1296,1651103038,64
1297,1651103068,64
1298,1651103098,64
1299,1651103128,64
1300,1651103158,64
1301,1651103188,64
1302,1651103218,64
1303,1651103248,64
1304,1651103278,56
1305,1651103308,56
1306,1651103338,56
1307,1651103368,56
1308,1651103398,56
1309,1651103428,56
1310,1651103458,56
1311,1651103488,56
1312,1651103518,56
1313,1651103548,56
1314,1651103578,56
1315,1651103608,56
1316,1651103638,56
1317,1651103668,56
1318,1651103698,56
1319,1651103728,56
1320,1651103758,56
1321,1651103788,56
1322,1651103818,56
1323,1651103848,56
1324,1651103878,56
1325,1651103908,56
1326,1651103938,56
1327,1651103968,56
1328,1651103998,56
1329,1651104028,56
1330,1651104058,56
1331,1651104088,56
1332,1651104118,56
1333,1651104148,56
1334,1651104178,56
1335,1651104208,56
1336,1651104238,56
1337,1651104268,56
1338,1651104298,56
1339,1651104328,56
1340,1651104358,56
1341,1651104388,56
1342,1651104418,56
1343,1651104448,56
1344,1651104478,56
1345,1651104508,56
1346,1651104538,56
1347,1651104568,56
1348,1651104598,56
1349,1651104628,56
1350,1651104658,56
1351,1651104688,56
1352,1651104718,56
1353,1651104748,56
1354,1651104778,56
1355,1651104808,56
1356,1651104838,56
1357,1651104868,56
1358,1651104898,56
